mt_id,project_asv_id,project_sample_id,image_id,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,db_id,institution_code,ncbi_species,ncbi_id_rank,ncbi_taxid,locality,subregion,country,latitude,longitude,authors,genbank_accession,contigname,run_id,mmg_library_id,projectname,chimera_notes,variant_status,metadata_source,specimen_id,morphospecies,lowest_taxon,taxonomy_notes,collection_method,collection_method_category,collection_method_notes,plotid,province_state_territory,habitat
GBDL03115,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Tetralobinae,,,Sinelater,,Sinelater perroti,NA,NA,,NA,NA,NA,Guangdong province,NA,China,NA,NA,Chen X. and Jiang S. and Meng Z. and Ruan Y.,OM772654,OM772654,NA,,,,,,NA,,Sinelater perroti,,,,,,Qingyuan City,
GBDL03161,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Oxynopterinae,,,Sternocampsus,,Sternocampsus coriaceus,NA,NA,MYN-QL0011,NA,NA,NA,,NA,China,NA,NA,Qiu L.,OP613100,OP613100,NA,,,,,,NA,,Sternocampsus coriaceus,,,,,,,
GBDL03226,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes sp. GTI-106,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452713,OP452713,NA,,,,,,NA,,Agriotes sp. GTI-106,,,,,,,
GBDL03285,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes sp. GTI-28,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452712,OP452712,NA,,,,,,NA,,Agriotes sp. GTI-28,,,,,,,
GBDL03331,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Agrypnus,,Agrypnus binodulus,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452714,OP452714,NA,,,,,,NA,,Agrypnus binodulus,,,,,,,
GBDL03344,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Prosterninae,,,Ctenicera,,Ctenicera cuprea,NA,NA,,NA,NA,NA,,NA,,NA,NA,,OY284498,OY284498,NA,,,,,,NA,,Ctenicera cuprea,,,,,,,
GBDL03371,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Semiotinae,,,Campsosternus,,Campsosternus auratus,NA,NA,,NA,NA,NA,Guangdong province,NA,China,NA,NA,Chen X. and Jiang S. and Meng Z. and Ruan Y.,OM479514,OM479514,NA,,,,,,NA,,Campsosternus auratus,,,,,,Qingyuan City,
QINL00687,,MEla23,MElat23,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,5.31.0.0.15683,NA,QINL_library05,,,,,NA,,,,,,,,,
QINL00691,,MEla5,MElat5,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Agrypnus,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,5.35.0.0.15362,NA,QINL_library05,,,,,NA,,,,,,,,,
QINL00795,,MEla3,MElat3,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,Melanotini,,Melanotus,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,6.19.0.0.16051,NA,QINL_library06,,,,,NA,,,,,,,,,
QINL01218,,MEla17,MElat17,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,QINL00712m,NA,QINL_library05,,merged QINL00712+QINL00728,,,NA,,,,,,,,,
QINL143,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib2contig40,NA,lib2,QinLing Mountains Project,,,,NA,MEla49,Coleoptera,,,,,,Qinling,
QINL157,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib3contig37,NA,lib3,QinLing Mountains Project,,,,NA,MEla47,Coleoptera,,,,,,Qinling,
QINL166,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib4contig16,NA,lib4,QinLing Mountains Project,,,,NA,MEla28,Coleoptera,,,,,,Qinling,
QINL186,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib5contig77,NA,lib5,QinLing Mountains Project,,,,NA,MEla29,Coleoptera,,,,,,Qinling,
QINL188,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib5contig84,NA,lib5,QinLing Mountains Project,,,,NA,MEla23,Coleoptera,,,,,,Qinling,
QINL196,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib5contig132,NA,lib5,QinLing Mountains Project,,,,NA,MCan23,Coleoptera,,,,,,Qinling,
QINL200,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib5contig192,NA,lib5,QinLing Mountains Project,,,,NA,MEla38,Coleoptera,,,,,,Qinling,
QINL216,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib6contig51,NA,lib6,QinLing Mountains Project,,,,NA,MEla30,Coleoptera,,,,,,Qinling,
QINL217,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib7contig6,NA,lib7,QinLing Mountains Project,,,,NA,MEla34,Coleoptera,,,,,,Qinling,
QINL226,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib7contig26,NA,lib7,QinLing Mountains Project,,,,NA,MEla33,Coleoptera,,,,,,Qinling,
QINL229,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib7contig35,NA,lib7,QinLing Mountains Project,,,,NA,MEla24,Coleoptera,,,,,,Qinling,
QINL230,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib7contig41,NA,lib7,QinLing Mountains Project,,,,NA,MEla26,Coleoptera,,,,,,Qinling,
SPSO00016,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,BMNH,NA,NA,NA,Sierra Madrona,NA,Spain,NA,NA,C Andujar,MK692566,Contig_20_1042671_larva,NA,,Beetles from Soil,,,,1042671,,Elateridae,Larva,Soil_Floating,Active,Deep,,Ciudad Real,
SPSO00026,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Cardiophorinae,,,,,,NA,NA,BMNH,NA,NA,NA,Sierra Madrona,NA,Spain,NA,NA,C Andujar,MK692576,Contig_31_1042684_larva,NA,,Beetles from Soil,,,,1042684,,Elateridae,Larva,Soil_Floating,Active,Deep,,Ciudad Real,
SPSO00033,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,BMNH,NA,NA,NA,Sierra de Cabra,NA,Spain,NA,NA,C Andujar,MK692583,Contig_39_1042504_larva,NA,,Beetles from Soil,,,,1042504,,Elateridae,Larva,Soil_Floating,Active,Deep,,Cordoba,
SPSO00035,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Cardiophorinae,,,Cardiophorus,,Cardiophorus signatus,NA,NA,BMNH,NA,NA,NA,Sierra de Grazalema,NA,Spain,NA,NA,C Andujar,MK692585,Contig_41_1041967_Adult_Elateridae,NA,,Beetles from Soil,,,,1041967,,Cardiophorus signatus,,Soil_Floating,Active,Deep,,Cadiz,
SPSO00054,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,,,,NA,NA,BMNH,NA,NA,NA,Sierra de Cabra,NA,Spain,NA,NA,C Andujar,MK692604,Contig_61_1042605_larva,NA,,Beetles from Soil,,,,1042605,,Elateridae,Larva,Soil_Floating,Active,Deep,,Cordoba,
SPSO00090,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Cardiophorinae,,,Cardiophorus,,,NA,NA,BMNH,NA,NA,NA,Sierra Madrona,NA,Spain,NA,NA,C Andujar,MK692640,Contig_105_1042267_Adult_Elateridae,NA,,Beetles from Soil,,,,1042267,,Cardiophorus,,Soil_Floating,Active,Deep,,Ciudad Real,
SPSO00130,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Dendrometrinae,,,,,,NA,NA,BMNH,NA,NA,NA,Sierra Madrona,NA,Spain,NA,NA,C Andujar,MK692680,Contig_158_1042710_larva,NA,,Beetles from Soil,,,,1042710,,Elateridae,Larva,Soil_Floating,Active,Deep,,Ciudad Real,
SPSO00181,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,Melanotini,,Melanotus,,,NA,NA,,NA,NA,NA,Sierra de Grazalema,NA,Spain,NA,NA,C Andujar,MK692731,Contig_235,NA,,Beetles from Soil,,,,NA,,Melanotus,,Soil_Floating,Active,Floating out of soil,,Cadiz,
SRAA00034,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Drilini,,Drilus,,Drilus concolor,NA,NA,,NA,NA,NA,,NA,,NA,NA,,SRR2083658,Drilus_concolor,NA,,,,,,NA,,Drilus concolor,,,,,,,
GBDL03522,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Dendrometrinae,Denticollinae,,Athousius,NA,Athousius wudanganus,NA,GBDL03522,NA,Athousius wudanganus,species,1028072,NA,NA,NA,NA,NA,Liu H. and Xi H. and Kang Z. and Yang Y. and Ge X.,MN507534,MN507534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL03559,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Dalopius,NA,Dalopius marginatus,NA,GBDL03559,NA,Dalopius marginatus,species,1553258,NA,NA,NA,NA,NA,,OZ219181,OZ219181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL03680,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Silesis,NA,Silesis erberi,NA,GBDL03680,NA,Silesis erberi,species,2939014,NA,NA,NA,NA,NA,Yang Y. and Liu H. and Wang Y. and Ge X.,MT955357,MT955357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL03941,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Dendrometrinae,Denticollinae,,Denticollis,NA,Denticollis linearis,NA,GBDL03941,NA,Denticollis linearis,species,333879,NA,NA,NA,NA,NA,,OZ123677,OZ123677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL03942,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Dendrometrinae,Denticollinae,,Hemicrepidius,NA,Hemicrepidius niger,NA,GBDL03942,NA,Hemicrepidius niger,species,869179,NA,NA,NA,NA,NA,,OY720169,OY720169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL04005,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Prosterninae,,,Actenicerus,NA,Actenicerus siaelandicus,NA,GBDL04005,NA,Actenicerus siaelandicus,species,869165,NA,NA,NA,NA,NA,,OZ174156,OZ174156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL04024,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Ampedus,NA,Ampedus sanguinolentus,NA,GBDL04024,NA,Ampedus sanguinolentus,species,941989,NA,NA,NA,NA,NA,,OZ174274,OZ174274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBDL04049,NA,NA,NA,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,,,Melanotus,NA,Melanotus fiumii,NA,GBDL04049,NA,Melanotus fiumii,species,2879486,NA,NA,NA,NA,NA,Liu H. and Xi H. and Kang Z. and Yang Y. and Ge X.,MN507535,MN507535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIOD04481,MSL2207,ECU4205-03-03-0004,4205-03-03-0004,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Chauliognathinae,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD05238,MSL95,Bham_M5-0003,Bham_M5-0003,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Cantharinae,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
GBDL01800,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Chauliognathinae,Chauliognathini,,Chauliognathus,,Chauliognathus opacus,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
GBDL02470,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Cantharinae,Cantharini,,Cantharis,,Cantharis plagiata,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
GBDL03210,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Cantharinae,Cantharini,,Rhagonycha,,Rhagonycha spinosa,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02200,6KP2576,MS543,MS543,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Malthininae,Malthodini,,Inmalthodes,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD04273,MSL1272,KINAB-HQ-03_0041,KINAB_HQ-03-0041,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Malthininae,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD01417,6KP1245,MS270,MS270,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Malthininae,Malthodini,,Maltypus,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD01234,6KP695,MS178,MS178,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lampyridae,Luciolinae,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD09553,5MSL269,IA5D22-02-0012,INTER_A_5_DEC_2_2_02.0012,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lampyridae,Ototretinae,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
GBDL00296,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lampyridae,Lampyrinae,Photinini,,Ellychnia,,Ellychnia corrusca,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
GBDL01432,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lampyridae,Ototretinae,,,,,Rhagophthalminae sp. GENSP01,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
GBDL02928,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lampyridae,Luciolinae,,,Abscondita,,Abscondita chinensis,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02905,6KP3212,CH_MALAISE1_P1_Adult_768_B07_1721696_Lycidae,CH_Lyc8,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02747,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,Erotinae,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02882,6KP2038,MS118,MS118,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02754,6KP2830,SF_MALAISE1_P1_Adult_755_F11_1426981_Lycidae,SF_Lyc6,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02667,6KP1497,MS442,MS442,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02668,6KP2519,MS443,MS443,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,Lycinae,Platerodini,,Plateros,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02987,6KP1479,MS1299,MS1299,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD03086,6KP1830,CH_FIT1_P1_Adult_758_E06_1427252_Lampyridae,CH_Lamp1,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,Lycinae,Platerodini,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD03104,6KP12148,CH_MALAISE2_P1_Adult_763_G08_1721277_Lycidae,CH_Lyc7,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,Lycinae,Platerodini,,Plateros,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
BIOD02513,6KP10592,SF_MALAISE1_P5_Adult_751_H10_1426524_Lycidae,SF_Lyc12,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Lycidae,,,,,,,NA,,,,,NA,,NA,,NA,NA,,,,NA,,,,,,NA,,,,,,,,,
A01544,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae, Plastoceridae,,,Plastocerus,,,,,,,,,,,Turkey,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G18014,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,,,Drilus,,,,,,,,,,,Spain,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G19002,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Hemiopinae,,,Hemiop,,,,,,,,,,,Malaysia,,,Kusy et al 2023,,,,,,,,,,,,,,,,,,
G19006,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Parablacinae,,,Parablacinae,,,,,,,,,,,Queensland,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G19007,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Eudicronychini,,Eudicronychus_rufus,,,,,,,,,,,Zambia,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G19010,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Cebrioninae,,,Cebrio,,,,,,,,,,,Italy,,,Kusy et al 2023,,,,,,,,,,,,,,,,,,
G19011,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Morostomatinae,,,Diplophoenicu,,,,,,,,,,,Madagascar,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G20004,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Eudicronychini,,Eudicronychus_sp,,,,,,,,,,,Zambia,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G20007,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Hapatesinae,,,Hapatesus,,,,,,,,,,,New Guinea,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G20012,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Pityobiinae,,,Tibionema,,,,,,,,,,,Chile,,,Kusy et al 2021,,,,,,,,,,,,,,,,,,
G21003,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Cardiophorinae,,,Analestesa,,,,,,,,,,,Saudi Arabia,,,Kusy et al 2023,,,,,,,,,,,,,,,,,,
G21004,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Paulusiellinae,,,Paulusiella,,,,,,,,,,,Iran,,,Kusy et al 2023,,,,,,,,,,,,,,,,,,
G22001,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Cebriorhipis,,,,,,,,,,,Indonesia,,,Kusy et al 2023,,,,,,,,,,,,,,,,,,
R19010,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Negastriinae,,,Quasimus,,,,,,,,,,,Japan,,,Kusy et al 2023,,,,,,,,,,,,,,,,,,
